ABCFLOAT|FLOAT,FLOAT,FLOAT
EMRMASKBLT|EMR,RECTL,LONG,LONG,LONG,LONG,DWORD,LONG,LONG,XFORM,COLORREF,DWORD,DWORD,DWORD,DWORD,DWORD,LONG,LONG,DWORD,DWORD,DWORD,DWORD,DWORD
EMRMODIFYWORLDTRANSFORM|EMR,XFORM,DWORD
EMRNAMEDESCAPE|EMR,INT,INT,INT,BYTE
EMROFFSETCLIPRGN|EMR,POINTL
EMRPIXELFORMAT|EMR,PIXELFORMATDESCRIPTOR
EMRPLGBLT|EMR,RECTL,POINTL,LONG,LONG,LONG,LONG,XFORM,COLORREF,DWORD,DWORD,DWORD,DWORD,DWORD,LONG,LONG,DWORD,DWORD,DWORD,DWORD,DWORD
EMRPOLYDRAW16|EMR,RECTL,DWORD,POINTS,BYTE
EMRPOLYDRAW|EMR,RECTL,DWORD,POINTL,BYTE
EMRPOLYLINE16|EMR,RECTL,DWORD,POINTS
EMRPOLYLINE|EMR,RECTL,DWORD,POINTL
EMRPOLYPOLYLINE16|EMR,RECTL,DWORD,DWORD,DWORD,POINTS
EMRPOLYPOLYLINE|EMR,RECTL,DWORD,DWORD,DWORD,POINTL
EMRPOLYTEXTOUTA|EMR,RECTL,DWORD,FLOAT,FLOAT,LONG,EMRTEXT
EMRRESIZEPALETTE|EMR,DWORD,DWORD
EMRRESTOREDC|EMR,LONG
EMRROUNDRECT|EMR,RECTL,SIZEL
EMRSCALEVIEWPORTEXTEX|EMR,LONG,LONG,LONG,LONG
EMRSELECTCLIPPATH|EMR,DWORD
EMRSELECTOBJECT|EMR,DWORD
EMRSELECTPALETTE|EMR,DWORD
EMRSETARCDIRECTION|EMR,DWORD
EMRSETBKCOLOR|EMR,COLORREF
EMRSETCOLORADJUSTMENT|EMR,COLORADJUSTMENT
EMRSETCOLORSPACE|EMR,DWORD
EMRSETDIBITSTODEVICE|EMR,RECTL,LONG,LONG,LONG,LONG,LONG,LONG,DWORD,DWORD,DWORD,DWORD,DWORD,DWORD,DWORD
EMRSETICMPROFILE|EMR,DWORD,DWORD,DWORD,BYTE
EMRSETMAPPERFLAGS|EMR,DWORD
EMRSETMITERLIMIT|EMR,FLOAT
EMRSETPALETTEENTRIES|EMR,DWORD,DWORD,DWORD,PALETTEENTRY
EMRSETPIXELV|EMR,POINTL,COLORREF
EMRSETVIEWPORTEXTEX|EMR,SIZEL
EMRSETVIEWPORTORGEX|EMR,POINTL
EMRSETWORLDTRANSFORM|EMR,XFORM
EMRSTRETCHBLT|EMR,RECTL,LONG,LONG,LONG,LONG,DWORD,LONG,LONG,XFORM,COLORREF,DWORD,DWORD,DWORD,DWORD,DWORD,LONG,LONG
EMRSTRETCHDIBITS|EMR,RECTL,LONG,LONG,LONG,LONG,LONG,LONG,DWORD,DWORD,DWORD,DWORD,DWORD,DWORD,LONG,LONG
EMRTEXT|POINTL,DWORD,DWORD,DWORD,RECTL,DWORD
EMRTRANSPARENTBLT|EMR,RECTL,LONG,LONG,LONG,LONG,DWORD,LONG,LONG,XFORM,COLORREF,DWORD,DWORD,DWORD,DWORD,DWORD,LONG,LONG
EMR|DWORD,DWORD
